Time - Plot 0	Amplitude - Plot 0	
0	0.0050354	
4E-8	-0.0039978	
8E-8	-0.0379333	
1.2E-7	0.00238037	
1.6E-7	0.0361938	
2E-7	-0.010498	
2.4E-7	0.000579834	
2.8E-7	0.00708008	
3.2E-7	0.00271606	
3.6E-7	-0.0088501	
4E-7	-0.00564575	
4.4E-7	0.0290833	
4.8E-7	-0.00161743	
5.2E-7	-0.0038147	
5.6E-7	0.0175781	
6E-7	-0.0196533	
6.4E-7	0.000488281	
6.8E-7	0.0301819	
7.2E-7	0.0426636	
7.6E-7	0.0147095	
8E-7	0.021637	
8.4E-7	0.0105591	
8.8E-7	0.00158691	
9.2E-7	-0.015564	
9.6E-7	0.01297	
1E-6	0.018158	
1.04E-6	0.0354004	
1.08E-6	-0.00720215	
1.12E-6	0.0071106	
1.16E-6	0.0139771	
1.2E-6	0.00183105	
1.24E-6	0.0220337	
1.28E-6	-0.00930786	
1.32E-6	-0.0583496	
1.36E-6	-0.0100708	
1.4E-6	-0.00692749	
1.44E-6	-0.00119019	
1.48E-6	0.0236511	
1.52E-6	0.0531311	
1.56E-6	-0.0166321	
1.6E-6	-0.0151672	
1.64E-6	-0.0027771	
1.68E-6	0.00930786	
1.72E-6	-0.000946045	
1.76E-6	-0.00305176	
1.8E-6	-0.012207	
1.84E-6	0.00888062	
1.88E-6	-0.0170593	
1.92E-6	-0.00942993	
1.96E-6	-0.0377197	
2E-6	-0.0361633	
2.04E-6	-0.0147095	
2.08E-6	-0.0215759	
2.12E-6	0.0105896	
2.16E-6	0.00393677	
2.2E-6	0.000213623	
2.24E-6	0.0161133	
2.28E-6	0.0111694	
2.32E-6	0.000396729	
2.36E-6	-0.0206299	
2.4E-6	0.0114441	
2.44E-6	0.0240479	
2.48E-6	0.0425415	
2.52E-6	-0.0208435	
2.56E-6	-0.0456543	
2.6E-6	-0.0191956	
2.64E-6	-0.00689697	
2.68E-6	-0.00219727	
2.72E-6	0.0115356	
2.76E-6	0.0424194	
2.8E-6	0.0151978	
2.84E-6	0.0384521	
2.88E-6	0.00726318	
2.92E-6	0.00146484	
2.96E-6	-0.0501709	
3E-6	-0.0298767	
3.04E-6	-0.0453491	
3.08E-6	0.00839233	
3.12E-6	0.00631714	
3.16E-6	0.00500488	
3.2E-6	0.00970459	
3.24E-6	0.0307007	
3.28E-6	0.000244141	
3.32E-6	0.0272522	
3.36E-6	0.00210571	
3.4E-6	0.0211182	
3.44E-6	0.0606079	
3.48E-6	0.0125427	
3.52E-6	-0.0426636	
3.56E-6	-0.0136108	
3.6E-6	-0.00552368	
3.64E-6	-0.0124512	
3.68E-6	-0.00582886	
3.72E-6	-0.0203247	
3.76E-6	0.0012207	
3.8E-6	0.0196838	
3.84E-6	-0.0139465	
3.88E-6	-0.046875	
3.92E-6	-0.041687	
3.96E-6	0.00457764	
4E-6	0.0294495	
4.04E-6	-0.000854492	
4.08E-6	0.0127563	
4.12E-6	0.0299988	
4.16E-6	-0.00170898	
4.2E-6	0.0369873	
4.24E-6	-0.00808716	
4.28E-6	-0.0158691	
4.32E-6	-0.00784302	
4.36E-6	0.00875854	
4.4E-6	-0.010498	
4.44E-6	-0.0187988	
4.48E-6	-0.00991821	
4.52E-6	0.0172729	
4.56E-6	0.0178833	
4.6E-6	0.00558472	
4.64E-6	0.00314331	
4.68E-6	-0.00546265	
4.72E-6	0.00247192	
4.76E-6	0.00128174	
4.8E-6	0.0141602	
4.84E-6	0.0526733	
4.88E-6	0.0478516	
4.92E-6	-0.0221558	
4.96E-6	-0.0643005	
5E-6	-0.016571	
5.04E-6	0.00881958	
5.08E-6	-0.00338745	
5.12E-6	0.00628662	
5.16E-6	-0.013031	
5.2E-6	-0.00738525	
5.24E-6	-0.03125	
5.28E-6	-0.0127869	
5.32E-6	-0.0155334	
5.36E-6	-0.0341187	
5.4E-6	0.00592041	
5.44E-6	0.0166931	
5.48E-6	0.0250549	
5.52E-6	0.0130615	
5.56E-6	-0.00436401	
5.6E-6	0.0078125	
5.64E-6	0.00119019	
5.68E-6	0.00137329	
5.72E-6	0.000244141	
5.76E-6	-0.000854492	
5.8E-6	-0.00320435	
5.84E-6	-0.0189819	
5.88E-6	0.0244446	
5.92E-6	0.0198669	
5.96E-6	0.0126343	
6E-6	0.00747681	
6.04E-6	0.00985718	
6.08E-6	0.0139465	
6.12E-6	0.0153809	
6.16E-6	-0.0276489	
6.2E-6	-0.0247498	
6.24E-6	0.00131226	
6.28E-6	0.00247192	
6.32E-6	0.0137634	
6.36E-6	0.0120239	
6.4E-6	0.0380554	
6.44E-6	-0.0189209	
6.48E-6	-0.0528259	
6.52E-6	-0.0890198	
6.56E-6	0.0391541	
6.6E-6	0.0372925	
6.64E-6	-0.0106506	
6.68E-6	-0.0525818	
6.72E-6	0.0144958	
6.76E-6	0.00646973	
6.8E-6	0.0517578	
6.84E-6	0.0233154	
6.88E-6	0.0457458	
6.92E-6	-0.0227661	
6.96E-6	-0.0240784	
7E-6	-0.00323486	
7.04E-6	0.0346375	
7.08E-6	0.0474548	
7.12E-6	-0.0067749	
7.16E-6	-0.0384216	
7.2E-6	-0.0103149	
7.24E-6	-0.00354004	
7.28E-6	-0.0119019	
7.32E-6	-0.00979614	
7.36E-6	-0.00946045	
7.4E-6	-0.0249329	
7.44E-6	-0.0236206	
7.48E-6	-0.049408	
7.52E-6	-0.0093689	
7.56E-6	0.0231018	
7.6E-6	-0.0198059	
7.64E-6	-0.0444946	
7.68E-6	-0.00888062	
7.72E-6	0.00302124	
7.76E-6	0.00405884	
7.8E-6	-0.00424194	
7.84E-6	-0.0147705	
7.88E-6	-0.0151367	
7.92E-6	-0.0136719	
7.96E-6	-0.022522	
