Time - Plot 0	Amplitude - Plot 0	
0	0.0966797	
4E-8	0.0967407	
8E-8	0.0968018	
1.2E-7	0.0968018	
1.6E-7	0.0969238	
2E-7	0.0969849	
2.4E-7	0.0968933	
2.8E-7	0.0967102	
3.2E-7	0.0967102	
3.6E-7	0.0967407	
4E-7	0.0967102	
4.4E-7	0.0967407	
4.8E-7	0.0967712	
5.2E-7	0.0966797	
5.6E-7	0.0966797	
6E-7	0.0966492	
6.4E-7	0.0966797	
6.8E-7	0.0966797	
7.2E-7	0.0966492	
7.6E-7	0.0965271	
8E-7	0.0965576	
8.4E-7	0.0966187	
8.8E-7	0.0966492	
9.2E-7	0.0966187	
9.6E-7	0.0965881	
1E-6	0.0965881	
1.04E-6	0.0965576	
1.08E-6	0.0965576	
1.12E-6	0.0966187	
1.16E-6	0.0966797	
1.2E-6	0.0966797	
1.24E-6	0.0967407	
1.28E-6	0.0966797	
1.32E-6	0.0966797	
1.36E-6	0.0967407	
1.4E-6	0.0968628	
1.44E-6	0.0969543	
1.48E-6	0.0970154	
1.52E-6	0.0970459	
1.56E-6	0.0970154	
1.6E-6	0.0969849	
1.64E-6	0.0970154	
1.68E-6	0.0970459	
1.72E-6	0.097168	
1.76E-6	0.097168	
1.8E-6	0.097229	
1.84E-6	0.0971985	
1.88E-6	0.097229	
1.92E-6	0.09729	
1.96E-6	0.0972595	
2E-6	0.0971375	
2.04E-6	0.0970764	
2.08E-6	0.0970154	
2.12E-6	0.0969849	
2.16E-6	0.0970459	
2.2E-6	0.097168	
2.24E-6	0.0971375	
2.28E-6	0.0970764	
2.32E-6	0.0970459	
2.36E-6	0.0970764	
2.4E-6	0.0970764	
2.44E-6	0.0970764	
2.48E-6	0.0970459	
2.52E-6	0.0970459	
2.56E-6	0.0970154	
2.6E-6	0.0969543	
2.64E-6	0.0968628	
2.68E-6	0.0967407	
2.72E-6	0.0967102	
2.76E-6	0.0966797	
2.8E-6	0.0966492	
2.84E-6	0.0966492	
2.88E-6	0.0966492	
2.92E-6	0.0966492	
2.96E-6	0.0966797	
3E-6	0.0966797	
3.04E-6	0.0966187	
3.08E-6	0.0966492	
3.12E-6	0.0967102	
3.16E-6	0.0968018	
3.2E-6	0.0967712	
3.24E-6	0.0966187	
3.28E-6	0.0965271	
3.32E-6	0.0964966	
3.36E-6	0.0964661	
3.4E-6	0.0964966	
3.44E-6	0.0966187	
3.48E-6	0.0967102	
3.52E-6	0.0968018	
3.56E-6	0.0968628	
3.6E-6	0.0968628	
3.64E-6	0.0967102	
3.68E-6	0.0966492	
3.72E-6	0.0965271	
3.76E-6	0.0964661	
3.8E-6	0.0964355	
3.84E-6	0.0964355	
3.88E-6	0.0964661	
3.92E-6	0.0964966	
3.96E-6	0.0964966	
4E-6	0.0965881	
4.04E-6	0.0965881	
4.08E-6	0.0966492	
4.12E-6	0.0968018	
4.16E-6	0.0968018	
4.2E-6	0.0967102	
4.24E-6	0.0966492	
4.28E-6	0.0965881	
4.32E-6	0.0965881	
4.36E-6	0.0965576	
4.4E-6	0.0965271	
4.44E-6	0.0964966	
4.48E-6	0.0965576	
4.52E-6	0.0965576	
4.56E-6	0.0964661	
4.6E-6	0.0963135	
4.64E-6	0.0963135	
4.68E-6	0.096405	
4.72E-6	0.0964355	
4.76E-6	0.0964661	
4.8E-6	0.0965271	
4.84E-6	0.0965576	
4.88E-6	0.0966492	
4.92E-6	0.0966492	
4.96E-6	0.0966187	
5E-6	0.0965576	
5.04E-6	0.0965271	
5.08E-6	0.0964966	
5.12E-6	0.0964355	
5.16E-6	0.096405	
5.2E-6	0.0963745	
5.24E-6	0.0964661	
5.28E-6	0.0964661	
5.32E-6	0.0964661	
5.36E-6	0.0964661	
5.4E-6	0.0964661	
5.44E-6	0.0964355	
5.48E-6	0.096405	
5.52E-6	0.0965271	
5.56E-6	0.0966797	
5.6E-6	0.0966187	
5.64E-6	0.0964355	
5.68E-6	0.0963135	
5.72E-6	0.0963135	
5.76E-6	0.096283	
5.8E-6	0.0963135	
5.84E-6	0.096283	
5.88E-6	0.0962524	
5.92E-6	0.0961304	
5.96E-6	0.0960388	
6E-6	0.0959473	
6.04E-6	0.0958557	
6.08E-6	0.0958862	
6.12E-6	0.0959473	
6.16E-6	0.0960388	
6.2E-6	0.0960388	
6.24E-6	0.0960693	
6.28E-6	0.0960693	
6.32E-6	0.0960693	
6.36E-6	0.0960693	
6.4E-6	0.0960388	
6.44E-6	0.0960693	
6.48E-6	0.0960693	
6.52E-6	0.0960083	
6.56E-6	0.0960388	
6.6E-6	0.0961304	
6.64E-6	0.0961609	
6.68E-6	0.0961914	
6.72E-6	0.0961914	
6.76E-6	0.0962524	
6.8E-6	0.096283	
6.84E-6	0.0962524	
6.88E-6	0.0961609	
6.92E-6	0.0960999	
6.96E-6	0.0961304	
7E-6	0.0961914	
7.04E-6	0.0962219	
7.08E-6	0.0963135	
7.12E-6	0.0963135	
7.16E-6	0.0961914	
7.2E-6	0.0959778	
7.24E-6	0.0960693	
7.28E-6	0.0961609	
7.32E-6	0.0961609	
7.36E-6	0.0960083	
7.4E-6	0.0959167	
7.44E-6	0.0959473	
7.48E-6	0.0960693	
7.52E-6	0.0961304	
7.56E-6	0.0962524	
7.6E-6	0.096283	
7.64E-6	0.0962219	
7.68E-6	0.0961914	
7.72E-6	0.096283	
7.76E-6	0.096405	
7.8E-6	0.0964355	
7.84E-6	0.096344	
7.88E-6	0.0962524	
7.92E-6	0.0962524	
7.96E-6	0.0962219	
8E-6	0.0962219	
8.04E-6	0.0961914	
8.08E-6	0.0961609	
8.12E-6	0.0961304	
8.16E-6	0.0960083	
8.2E-6	0.0960083	
8.24E-6	0.0960388	
8.28E-6	0.0960083	
8.32E-6	0.0958862	
8.36E-6	0.0957336	
8.4E-6	0.0957336	
8.44E-6	0.0957336	
8.48E-6	0.0957336	
8.52E-6	0.0957336	
8.56E-6	0.0957031	
8.6E-6	0.0956421	
8.64E-6	0.0956421	
8.68E-6	0.0957031	
8.72E-6	0.0957642	
8.76E-6	0.0957947	
8.8E-6	0.0958862	
8.84E-6	0.0959778	
8.88E-6	0.0960388	
8.92E-6	0.0960999	
8.96E-6	0.0960999	
9E-6	0.0960999	
9.04E-6	0.0961304	
9.08E-6	0.0960999	
9.12E-6	0.0960999	
9.16E-6	0.0961914	
9.2E-6	0.0963135	
9.24E-6	0.096283	
9.28E-6	0.096283	
9.32E-6	0.096283	
9.36E-6	0.0963745	
9.4E-6	0.096405	
9.44E-6	0.0963745	
9.48E-6	0.096283	
9.52E-6	0.0962219	
9.56E-6	0.0962219	
9.6E-6	0.0962524	
9.64E-6	0.0961914	
9.68E-6	0.0960999	
9.72E-6	0.0960388	
9.76E-6	0.0960388	
9.8E-6	0.0960693	
9.84E-6	0.0961304	
9.88E-6	0.0961914	
9.92E-6	0.0961609	
9.96E-6	0.0959778	
1E-5	0.0959167	
1.004E-5	0.0959473	
1.008E-5	0.0958557	
1.012E-5	0.0958252	
1.016E-5	0.0957336	
1.02E-5	0.0956116	
1.024E-5	0.0955505	
1.028E-5	0.09552	
1.032E-5	0.0954895	
1.036E-5	0.0954895	
1.04E-5	0.095459	
1.044E-5	0.0953674	
1.048E-5	0.0953369	
1.052E-5	0.0953674	
1.056E-5	0.095459	
1.06E-5	0.0954895	
1.064E-5	0.0956116	
1.068E-5	0.0956116	
1.072E-5	0.0956116	
1.076E-5	0.0956116	
1.08E-5	0.0956116	
1.084E-5	0.0956726	
1.088E-5	0.0956726	
1.092E-5	0.0956421	
1.096E-5	0.0956421	
1.1E-5	0.0956726	
1.104E-5	0.0957336	
1.108E-5	0.0957642	
1.112E-5	0.0958252	
1.116E-5	0.0958252	
1.12E-5	0.0958252	
1.124E-5	0.0957642	
1.128E-5	0.0956726	
1.132E-5	0.0955811	
1.136E-5	0.0955811	
1.14E-5	0.0955811	
1.144E-5	0.0955811	
1.148E-5	0.095459	
1.152E-5	0.0953064	
1.156E-5	0.0952759	
1.16E-5	0.0951843	
1.164E-5	0.0951233	
1.168E-5	0.0950623	
1.172E-5	0.0949707	
1.176E-5	0.0950012	
1.18E-5	0.0950012	
1.184E-5	0.0950012	
1.188E-5	0.0950317	
1.192E-5	0.0950928	
1.196E-5	0.0951538	
1.2E-5	0.0952148	
1.204E-5	0.0952454	
1.208E-5	0.0953064	
1.212E-5	0.0953369	
1.216E-5	0.0953369	
1.22E-5	0.0953674	
1.224E-5	0.095459	
1.228E-5	0.0955505	
1.232E-5	0.0955811	
1.236E-5	0.0956421	
1.24E-5	0.0956726	
1.244E-5	0.0957336	
