Time - Plot 0	Amplitude - Plot 0	
0	-0.0396118	
4E-8	-0.0396118	
8E-8	-0.0395813	
1.2E-7	-0.0395508	
1.6E-7	-0.0395203	
2E-7	-0.0394897	
2.4E-7	-0.0395203	
2.8E-7	-0.0396118	
3.2E-7	-0.0396118	
3.6E-7	-0.0395813	
4E-7	-0.0396118	
4.4E-7	-0.0395813	
4.8E-7	-0.0395813	
5.2E-7	-0.0396118	
5.6E-7	-0.0396118	
6E-7	-0.0396118	
6.4E-7	-0.0396118	
6.8E-7	-0.0396118	
7.2E-7	-0.0396423	
7.6E-7	-0.0396729	
8E-7	-0.0396729	
8.4E-7	-0.0396423	
8.8E-7	-0.0396423	
9.2E-7	-0.0396423	
9.6E-7	-0.0396423	
1E-6	-0.0396423	
1.04E-6	-0.0396729	
1.08E-6	-0.0396729	
1.12E-6	-0.0396423	
1.16E-6	-0.0396118	
1.2E-6	-0.0396118	
1.24E-6	-0.0395813	
1.28E-6	-0.0396118	
1.32E-6	-0.0396118	
1.36E-6	-0.0395813	
1.4E-6	-0.0395508	
1.44E-6	-0.0395203	
1.48E-6	-0.0394897	
1.52E-6	-0.0394592	
1.56E-6	-0.0394897	
1.6E-6	-0.0394897	
1.64E-6	-0.0394897	
1.68E-6	-0.0394592	
1.72E-6	-0.0394287	
1.76E-6	-0.0394287	
1.8E-6	-0.0393982	
1.84E-6	-0.0393982	
1.88E-6	-0.0393982	
1.92E-6	-0.0393677	
1.96E-6	-0.0393677	
2E-6	-0.0394287	
2.04E-6	-0.0394592	
2.08E-6	-0.0394897	
2.12E-6	-0.0394897	
2.16E-6	-0.0394897	
2.2E-6	-0.0394287	
2.24E-6	-0.0394287	
2.28E-6	-0.0394592	
2.32E-6	-0.0394592	
2.36E-6	-0.0394592	
2.4E-6	-0.0394592	
2.44E-6	-0.0394592	
2.48E-6	-0.0394592	
2.52E-6	-0.0394592	
2.56E-6	-0.0394897	
2.6E-6	-0.0394897	
2.64E-6	-0.0395508	
2.68E-6	-0.0395813	
2.72E-6	-0.0396118	
2.76E-6	-0.0396118	
2.8E-6	-0.0396423	
2.84E-6	-0.0396118	
2.88E-6	-0.0396423	
2.92E-6	-0.0396423	
2.96E-6	-0.0396118	
3E-6	-0.0396118	
3.04E-6	-0.0396423	
3.08E-6	-0.0396423	
3.12E-6	-0.0396118	
3.16E-6	-0.0395508	
3.2E-6	-0.0395813	
3.24E-6	-0.0396423	
3.28E-6	-0.0396729	
3.32E-6	-0.0397034	
3.36E-6	-0.0397034	
3.4E-6	-0.0396729	
3.44E-6	-0.0396423	
3.48E-6	-0.0396118	
3.52E-6	-0.0395813	
3.56E-6	-0.0395508	
3.6E-6	-0.0395508	
3.64E-6	-0.0396118	
3.68E-6	-0.0396118	
3.72E-6	-0.0396729	
3.76E-6	-0.0397034	
3.8E-6	-0.0397034	
3.84E-6	-0.0397034	
3.88E-6	-0.0397034	
3.92E-6	-0.0397034	
3.96E-6	-0.0396729	
4E-6	-0.0396423	
4.04E-6	-0.0396423	
4.08E-6	-0.0396423	
4.12E-6	-0.0395813	
4.16E-6	-0.0395508	
4.2E-6	-0.0396118	
4.24E-6	-0.0396423	
4.28E-6	-0.0396423	
4.32E-6	-0.0396423	
4.36E-6	-0.0396729	
4.4E-6	-0.0396729	
4.44E-6	-0.0396729	
4.48E-6	-0.0396729	
4.52E-6	-0.0396729	
4.56E-6	-0.0397034	
4.6E-6	-0.0397644	
4.64E-6	-0.0397644	
4.68E-6	-0.0397339	
4.72E-6	-0.0397034	
4.76E-6	-0.0397034	
4.8E-6	-0.0396729	
4.84E-6	-0.0396729	
4.88E-6	-0.0396423	
4.92E-6	-0.0396423	
4.96E-6	-0.0396423	
5E-6	-0.0396729	
5.04E-6	-0.0396729	
5.08E-6	-0.0397034	
5.12E-6	-0.0397034	
5.16E-6	-0.0397339	
5.2E-6	-0.0397339	
5.24E-6	-0.0397034	
5.28E-6	-0.0397034	
5.32E-6	-0.0397034	
5.36E-6	-0.0397034	
5.4E-6	-0.0397034	
5.44E-6	-0.0397034	
5.48E-6	-0.0397339	
5.52E-6	-0.0396729	
5.56E-6	-0.0396118	
5.6E-6	-0.0396423	
5.64E-6	-0.0397034	
5.68E-6	-0.0397644	
5.72E-6	-0.0397644	
5.76E-6	-0.0397644	
5.8E-6	-0.0397644	
5.84E-6	-0.0397644	
5.88E-6	-0.0397949	
5.92E-6	-0.0398254	
5.96E-6	-0.039856	
6E-6	-0.0398865	
6.04E-6	-0.0399475	
6.08E-6	-0.039917	
6.12E-6	-0.039917	
6.16E-6	-0.0398865	
6.2E-6	-0.039856	
6.24E-6	-0.039856	
6.28E-6	-0.039856	
6.32E-6	-0.039856	
6.36E-6	-0.039856	
6.4E-6	-0.039856	
6.44E-6	-0.039856	
6.48E-6	-0.039856	
6.52E-6	-0.0398865	
6.56E-6	-0.039856	
6.6E-6	-0.0398254	
6.64E-6	-0.0398254	
6.68E-6	-0.0398254	
6.72E-6	-0.0397949	
6.76E-6	-0.0397949	
6.8E-6	-0.0397644	
6.84E-6	-0.0397949	
6.88E-6	-0.0398254	
6.92E-6	-0.039856	
6.96E-6	-0.0398254	
7E-6	-0.0397949	
7.04E-6	-0.0397949	
7.08E-6	-0.0397644	
7.12E-6	-0.0397644	
7.16E-6	-0.0398254	
7.2E-6	-0.0398865	
7.24E-6	-0.039856	
7.28E-6	-0.0398254	
7.32E-6	-0.0398254	
7.36E-6	-0.0398865	
7.4E-6	-0.039917	
7.44E-6	-0.039917	
7.48E-6	-0.039856	
7.52E-6	-0.0398254	
7.56E-6	-0.0397949	
7.6E-6	-0.0397644	
7.64E-6	-0.0397949	
7.68E-6	-0.0397949	
7.72E-6	-0.0397644	
7.76E-6	-0.0397034	
7.8E-6	-0.0397034	
7.84E-6	-0.0397339	
7.88E-6	-0.0397949	
7.92E-6	-0.0397949	
7.96E-6	-0.0397949	
8E-6	-0.0397949	
8.04E-6	-0.0397949	
8.08E-6	-0.0398254	
8.12E-6	-0.0398254	
8.16E-6	-0.0398865	
8.2E-6	-0.0398865	
8.24E-6	-0.039856	
8.28E-6	-0.0398865	
8.32E-6	-0.039917	
8.36E-6	-0.039978	
8.4E-6	-0.0400085	
8.44E-6	-0.039978	
8.48E-6	-0.0400085	
8.52E-6	-0.0400085	
8.56E-6	-0.0400085	
8.6E-6	-0.0400085	
8.64E-6	-0.0400391	
8.68E-6	-0.0400085	
8.72E-6	-0.039978	
8.76E-6	-0.0399475	
8.8E-6	-0.0399475	
8.84E-6	-0.0398865	
8.88E-6	-0.039856	
8.92E-6	-0.039856	
8.96E-6	-0.039856	
9E-6	-0.039856	
9.04E-6	-0.0398254	
9.08E-6	-0.039856	
9.12E-6	-0.039856	
9.16E-6	-0.0397949	
9.2E-6	-0.0397644	
9.24E-6	-0.0397644	
9.28E-6	-0.0397644	
9.32E-6	-0.0397644	
9.36E-6	-0.0397339	
9.4E-6	-0.0397339	
9.44E-6	-0.0397339	
9.48E-6	-0.0397644	
9.52E-6	-0.0397949	
9.56E-6	-0.0397949	
9.6E-6	-0.0397949	
9.64E-6	-0.0397949	
9.68E-6	-0.039856	
9.72E-6	-0.0398865	
9.76E-6	-0.039856	
9.8E-6	-0.039856	
9.84E-6	-0.0398254	
9.88E-6	-0.0397949	
9.92E-6	-0.0398254	
9.96E-6	-0.0398865	
1E-5	-0.039917	
1.004E-5	-0.039917	
1.008E-5	-0.0399475	
1.012E-5	-0.0399475	
1.016E-5	-0.0400085	
1.02E-5	-0.0400391	
1.024E-5	-0.0400696	
1.028E-5	-0.0400696	
1.032E-5	-0.0401001	
1.036E-5	-0.0401001	
1.04E-5	-0.0401001	
1.044E-5	-0.0401306	
1.048E-5	-0.0401611	
1.052E-5	-0.0401306	
1.056E-5	-0.0401001	
1.06E-5	-0.0400696	
1.064E-5	-0.0400391	
1.068E-5	-0.0400391	
1.072E-5	-0.0400391	
1.076E-5	-0.0400391	
1.08E-5	-0.0400391	
