Time - Plot 0	Amplitude - Plot 0	
0	0.184875	
4E-8	0.184967	
8E-8	0.185089	
1.2E-7	0.185181	
1.6E-7	0.185303	
2E-7	0.185394	
2.4E-7	0.185516	
2.8E-7	0.185608	
3.2E-7	0.185699	
3.6E-7	0.185822	
4E-7	0.185913	
4.4E-7	0.186035	
4.8E-7	0.186127	
5.2E-7	0.186218	
5.6E-7	0.18634	
6E-7	0.186432	
6.4E-7	0.186554	
6.8E-7	0.186646	
7.2E-7	0.186737	
7.6E-7	0.186859	
8E-7	0.186951	
8.4E-7	0.187042	
8.8E-7	0.187164	
9.2E-7	0.187256	
9.6E-7	0.187378	
1E-6	0.187469	
1.04E-6	0.187561	
1.08E-6	0.187683	
1.12E-6	0.187775	
1.16E-6	0.187866	
1.2E-6	0.187988	
1.24E-6	0.18808	
1.28E-6	0.188171	
1.32E-6	0.188293	
1.36E-6	0.188385	
1.4E-6	0.188477	
1.44E-6	0.188599	
1.48E-6	0.18869	
1.52E-6	0.188812	
1.56E-6	0.188904	
1.6E-6	0.188995	
1.64E-6	0.189117	
1.68E-6	0.189209	
1.72E-6	0.189301	
1.76E-6	0.189423	
1.8E-6	0.189514	
1.84E-6	0.189606	
1.88E-6	0.189728	
1.92E-6	0.189819	
1.96E-6	0.189911	
2E-6	0.190033	
2.04E-6	0.190125	
2.08E-6	0.190216	
2.12E-6	0.190338	
2.16E-6	0.19043	
2.2E-6	0.190521	
2.24E-6	0.190643	
2.28E-6	0.190735	
2.32E-6	0.190826	
2.36E-6	0.190918	
2.4E-6	0.19104	
2.44E-6	0.191132	
2.48E-6	0.191223	
2.52E-6	0.191345	
2.56E-6	0.191437	
2.6E-6	0.191528	
2.64E-6	0.19162	
2.68E-6	0.191742	
2.72E-6	0.191833	
2.76E-6	0.191925	
2.8E-6	0.192047	
2.84E-6	0.192139	
2.88E-6	0.19223	
2.92E-6	0.192322	
2.96E-6	0.192444	
3E-6	0.192535	
3.04E-6	0.192627	
3.08E-6	0.192719	
3.12E-6	0.192841	
3.16E-6	0.192932	
3.2E-6	0.193024	
3.24E-6	0.193115	
3.28E-6	0.193237	
3.32E-6	0.193329	
3.36E-6	0.19342	
3.4E-6	0.193512	
3.44E-6	0.193634	
3.48E-6	0.193726	
3.52E-6	0.193817	
3.56E-6	0.193909	
3.6E-6	0.194	
3.64E-6	0.194122	
3.68E-6	0.194214	
3.72E-6	0.194305	
3.76E-6	0.194397	
3.8E-6	0.194519	
3.84E-6	0.194611	
3.88E-6	0.194702	
3.92E-6	0.194794	
3.96E-6	0.194885	
4E-6	0.195007	
4.04E-6	0.195099	
4.08E-6	0.19519	
4.12E-6	0.195282	
4.16E-6	0.195374	
4.2E-6	0.195496	
4.24E-6	0.195587	
4.28E-6	0.195679	
4.32E-6	0.19577	
4.36E-6	0.195862	
4.4E-6	0.195953	
4.44E-6	0.196075	
4.48E-6	0.196167	
4.52E-6	0.196259	
4.56E-6	0.19635	
4.6E-6	0.196442	
4.64E-6	0.196533	
4.68E-6	0.196655	
4.72E-6	0.196747	
4.76E-6	0.196838	
4.8E-6	0.19693	
4.84E-6	0.197021	
4.88E-6	0.197113	
4.92E-6	0.197235	
4.96E-6	0.197327	
5E-6	0.197418	
5.04E-6	0.19751	
5.08E-6	0.197601	
5.12E-6	0.197693	
5.16E-6	0.197784	
5.2E-6	0.197906	
5.24E-6	0.197998	
5.28E-6	0.19809	
5.32E-6	0.198181	
5.36E-6	0.198273	
5.4E-6	0.198364	
5.44E-6	0.198456	
5.48E-6	0.198547	
5.52E-6	0.198669	
5.56E-6	0.198761	
5.6E-6	0.198853	
5.64E-6	0.198944	
5.68E-6	0.199036	
5.72E-6	0.199127	
5.76E-6	0.199219	
5.8E-6	0.19931	
5.84E-6	0.199402	
5.88E-6	0.199524	
5.92E-6	0.199615	
5.96E-6	0.199707	
6E-6	0.199799	
6.04E-6	0.19989	
6.08E-6	0.199982	
6.12E-6	0.200073	
6.16E-6	0.200165	
6.2E-6	0.200256	
6.24E-6	0.200348	
6.28E-6	0.200439	
6.32E-6	0.200531	
6.36E-6	0.200653	
6.4E-6	0.200745	
6.44E-6	0.200836	
6.48E-6	0.200928	
6.52E-6	0.201019	
6.56E-6	0.201111	
6.6E-6	0.201202	
6.64E-6	0.201294	
6.68E-6	0.201385	
6.72E-6	0.201477	
6.76E-6	0.201569	
6.8E-6	0.20166	
6.84E-6	0.201752	
6.88E-6	0.201843	
6.92E-6	0.201935	
6.96E-6	0.202026	
7E-6	0.202118	
7.04E-6	0.202209	
7.08E-6	0.202301	
7.12E-6	0.202423	
7.16E-6	0.202515	
7.2E-6	0.202606	
7.24E-6	0.202698	
7.28E-6	0.202789	
7.32E-6	0.202881	
7.36E-6	0.202972	
7.4E-6	0.203064	
7.44E-6	0.203156	
7.48E-6	0.203247	
7.52E-6	0.203339	
7.56E-6	0.20343	
7.6E-6	0.203522	
7.64E-6	0.203613	
7.68E-6	0.203705	
7.72E-6	0.203796	
7.76E-6	0.203888	
7.8E-6	0.203979	
7.84E-6	0.204071	
7.88E-6	0.204163	
7.92E-6	0.204254	
7.96E-6	0.204346	
8E-6	0.204437	
8.04E-6	0.204529	
8.08E-6	0.20462	
8.12E-6	0.204712	
8.16E-6	0.204803	
8.2E-6	0.204895	
8.24E-6	0.204987	
8.28E-6	0.205078	
8.32E-6	0.20517	
8.36E-6	0.205261	
8.4E-6	0.205353	
8.44E-6	0.205444	
8.48E-6	0.205536	
8.52E-6	0.205627	
8.56E-6	0.205719	
8.6E-6	0.205811	
